#Wort #Wortart #Person #Numerus #Genus #Modus #Tempus #Kasus #In/Finit #Name #Satzglied #Satzteil
gelten Verb erste plural - indikativ präsens - finit nein kA kA
-gilt Verb zweite plural - indikativ präsens - finit nein kA kA
-gelten Verb dritte plural - indikativ präsens - finit nein kA kA
genese Verb erste singular - indikativ präsens - finit nein kA kA
-genest Verb zweite singular - indikativ präsens - finit nein kA kA
genest Verb dritte singular - indikativ präsens - finit nein kA kA
genesen Verb erste plural - indikativ präsens - finit nein kA kA
-genest Verb zweite plural - indikativ präsens - finit nein kA kA
-genesen Verb dritte plural - indikativ präsens - finit nein kA kA
genieße Verb erste singular - indikativ präsens - finit nein kA kA
-genießt Verb zweite singular - indikativ präsens - finit nein kA kA
genießt Verb dritte singular - indikativ präsens - finit nein kA kA
genießen Verb erste plural - indikativ präsens - finit nein kA kA
-genießt Verb zweite plural - indikativ präsens - finit nein kA kA
-genießen Verb dritte plural - indikativ präsens - finit nein kA kA
geschehe Verb erste singular - indikativ präsens - finit nein kA kA
geschiehst Verb zweite singular - indikativ präsens - finit nein kA kA
geschieht Verb dritte singular - indikativ präsens - finit nein kA kA
geschehen Verb erste plural - indikativ präsens - finit nein kA kA
-geschieht Verb zweite plural - indikativ präsens - finit nein kA kA
-geschehen Verb dritte plural - indikativ präsens - finit nein kA kA
gewinne Verb erste singular - indikativ präsens - finit nein kA kA
gewinnst Verb zweite singular - indikativ präsens - finit nein kA kA
gewinnt Verb dritte singular - indikativ präsens - finit nein kA kA
gewinnen Verb erste plural - indikativ präsens - finit nein kA kA
-gewinnt Verb zweite plural - indikativ präsens - finit nein kA kA
-gewinnen Verb dritte plural - indikativ präsens - finit nein kA kA
gieße Verb erste singular - indikativ präsens - finit nein kA kA
-gießt Verb zweite singular - indikativ präsens - finit nein kA kA
gießt Verb dritte singular - indikativ präsens - finit nein kA kA
gießen Verb erste plural - indikativ präsens - finit nein kA kA
-gießt Verb zweite plural - indikativ präsens - finit nein kA kA
-gießen Verb dritte plural - indikativ präsens - finit nein kA kA
gleiche Verb erste singular - indikativ präsens - finit nein kA kA
gleichst Verb zweite singular - indikativ präsens - finit nein kA kA
gleicht Verb dritte singular - indikativ präsens - finit nein kA kA
gleichen Verb erste plural - indikativ präsens - finit nein kA kA
-gleicht Verb zweite plural - indikativ präsens - finit nein kA kA
-gleichen Verb dritte plural - indikativ präsens - finit nein kA kA
gleite Verb erste singular - indikativ präsens - finit nein kA kA
gleitest Verb zweite singular - indikativ präsens - finit nein kA kA
gleitet Verb dritte singular - indikativ präsens - finit nein kA kA
gleiten Verb erste plural - indikativ präsens - finit nein kA kA
-gleitet Verb zweite plural - indikativ präsens - finit nein kA kA
-gleiten Verb dritte plural - indikativ präsens - finit nein kA kA
grabe Verb erste singular - indikativ präsens - finit nein kA kA
gräbst Verb zweite singular - indikativ präsens - finit nein kA kA
gräbt Verb dritte singular - indikativ präsens - finit nein kA kA
graben Verb erste plural - indikativ präsens - finit nein kA kA
-gräbt Verb zweite plural - indikativ präsens - finit nein kA kA
-graben Verb dritte plural - indikativ präsens - finit nein kA kA
greife Verb erste singular - indikativ präsens - finit nein kA kA
greifst Verb zweite singular - indikativ präsens - finit nein kA kA
greift Verb dritte singular - indikativ präsens - finit nein kA kA
greifen Verb erste plural - indikativ präsens - finit nein kA kA
-greift Verb zweite plural - indikativ präsens - finit nein kA kA
-greifen Verb dritte plural - indikativ präsens - finit nein kA kA
habe Verb erste singular - indikativ präsens - finit nein kA kA
hast Verb zweite singular - indikativ präsens - finit nein kA kA
hat Verb dritte singular - indikativ präsens - finit nein kA kA
haben Verb erste plural - indikativ präsens - finit nein kA kA
habt Verb zweite plural - indikativ präsens - finit nein kA kA
haben Verb dritte plural - indikativ präsens - finit nein kA kA
halte Verb erste singular - indikativ präsens - finit nein kA kA
hälst Verb zweite singular - indikativ präsens - finit nein kA kA
hält Verb dritte singular - indikativ präsens - finit nein kA kA
halten Verb erste plural - indikativ präsens - finit nein kA kA
-hält Verb zweite plural - indikativ präsens - finit nein kA kA
-halten Verb dritte plural - indikativ präsens - finit nein kA kA
hänge Verb erste singular - indikativ präsens - finit nein kA kA
hängst Verb zweite singular - indikativ präsens - finit nein kA kA
hängt Verb dritte singular - indikativ präsens - finit nein kA kA
hängen Verb erste plural - indikativ präsens - finit nein kA kA
-hängt Verb zweite plural - indikativ präsens - finit nein kA kA
-hängen Verb dritte plural - indikativ präsens - finit nein kA kA
haue Verb erste singular - indikativ präsens - finit nein kA kA
haust Verb zweite singular - indikativ präsens - finit nein kA kA
haut Verb dritte singular - indikativ präsens - finit nein kA kA
hauen Verb erste plural - indikativ präsens - finit nein kA kA
-haut Verb zweite plural - indikativ präsens - finit nein kA kA
-hauen Verb dritte plural - indikativ präsens - finit nein kA kA
hebe Verb erste singular - indikativ präsens - finit nein kA kA
hebst Verb zweite singular - indikativ präsens - finit nein kA kA
hebt Verb dritte singular - indikativ präsens - finit nein kA kA
heben Verb erste plural - indikativ präsens - finit nein kA kA
-hebt Verb zweite plural - indikativ präsens - finit nein kA kA
-heben Verb dritte plural - indikativ präsens - finit nein kA kA
heiße Verb erste singular - indikativ präsens - finit nein kA kA
-heißt Verb zweite singular - indikativ präsens - finit nein kA kA
heißt Verb dritte singular - indikativ präsens - finit nein kA kA
heißen Verb erste plural - indikativ präsens - finit nein kA kA
-heißt Verb zweite plural - indikativ präsens - finit nein kA kA
-heißen Verb dritte plural - indikativ präsens - finit nein kA kA
helfe Verb erste singular - indikativ präsens - finit nein kA kA
hilfst Verb zweite singular - indikativ präsens - finit nein kA kA
hilft Verb dritte singular - indikativ präsens - finit nein kA kA
helfen Verb erste plural - indikativ präsens - finit nein kA kA
-hilft Verb zweite plural - indikativ präsens - finit nein kA kA
-helfen Verb dritte plural - indikativ präsens - finit nein kA kA
kenne Verb erste singular - indikativ präsens - finit nein kA kA
kennst Verb zweite singular - indikativ präsens - finit nein kA kA
kennt Verb dritte singular - indikativ präsens - finit nein kA kA
kennen Verb erste plural - indikativ präsens - finit nein kA kA
-kennt Verb zweite plural - indikativ präsens - finit nein kA kA
-kennen Verb dritte plural - indikativ präsens - finit nein kA kA
klinge Verb erste singular - indikativ präsens - finit nein kA kA
klingst Verb zweite singular - indikativ präsens - finit nein kA kA
klingt Verb dritte singular - indikativ präsens - finit nein kA kA
klingen Verb erste plural - indikativ präsens - finit nein kA kA
-klingt Verb zweite plural - indikativ präsens - finit nein kA kA
-klingen Verb dritte plural - indikativ präsens - finit nein kA kA
